iter	Passed	Remaining
845	112467	1216933
846	112598	1216777
847	112727	1216609
848	112850	1216365
849	112985	1216256
850	113090	1215825
851	113227	1215728
852	113358	1215577
853	113487	1215401
854	113623	1215306
855	113764	1215264
856	113898	1215141
857	114041	1215117
858	114175	1214990
859	114309	1214875
860	114436	1214679
861	114561	1214463
862	114697	1214359
863	114831	1214234
864	114962	1214079
865	115101	1214014
866	115246	1214014
867	115388	1213970
868	115516	1213787
869	115673	1213903
870	115816	1213878
871	115950	1213760
872	116093	1213732
873	116235	1213692
874	116379	1213671
875	116510	1213520
876	116651	1213467
877	116767	1213158
878	116903	1213055
879	117037	1212932
880	117147	1212559
881	117279	1212417
882	117425	1212420
883	117560	1212308
884	117696	1212210
885	117828	1212060
886	117968	1212001
887	118121	1212073
888	118262	1212023
889	118389	1211833
890	118523	1211711
891	118627	1211280
892	118770	1211248
893	118914	1211225
894	119042	1211036
895	119182	1210982
896	119321	1210909
897	119453	1210765
898	119564	1210406
899	119714	1210442
900	119849	1210331
901	119997	1210346
902	120147	1210390
903	120289	1210351
904	120412	1210107
905	120527	1209795
906	120660	1209659
907	120793	1209534
908	120929	1209427
909	121064	1209319
910	121208	1209287
911	121338	1209124
912	121481	1209091
913	121620	1209016
914	121759	1208946
915	121889	1208782
916	122022	1208651
917	122163	1208592
918	122298	1208484
919	122437	1208401
920	122566	1208230
921	122704	1208144
922	122853	1208166
923	123002	1208191
924	123135	1208063
925	123272	1207965
926	123414	1207913
927	123548	1207788
928	123675	1207600
929	123803	1207413
930	123941	1207330
931	124068	1207134
932	124196	1206957
933	124329	1206824
934	124429	1206369
935	124556	1206178
936	124689	1206037
937	124815	1205844
938	124951	1205734
939	125083	1205589
940	125219	1205485
941	125356	1205387
942	125493	1205297
943	125628	1205179
944	125769	1205121
945	125907	1205038
946	126038	1204889
947	126165	1204690
948	126290	1204481
949	126425	1204369
950	126564	1204293
951	126695	1204143
952	126824	1203969
953	126964	1203899
954	127101	1203804
955	127234	1203671
956	127370	1203564
957	127500	1203406
958	127631	1203249
959	127764	1203114
960	127902	1203027
961	128038	1202919
962	128194	1203005
963	128341	1203005
964	128486	1202979
965	128626	1202914
966	128764	1202826
967	128902	1202735
968	129054	1202775
969	129216	1202914
970	129352	1202800
971	129492	1202733
972	129624	1202594
973	129756	1202449
974	129887	1202294
975	130026	1202214
976	130165	1202131
977	130306	1202068
978	130436	1201906
979	130573	1201806
980	130709	1201699
981	130841	1201558
982	130987	1201540
983	131110	1201311
984	131242	1201171
985	131381	1201085
986	131516	1200968
987	131646	1200804
988	131774	1200625
989	131904	1200466
990	132039	1200345
991	132170	1200191
992	132302	1200049
993	132435	1199914
994	132571	1199807
995	132719	1199804
996	132852	1199669
997	132992	1199601
998	133099	1199224
999	133235	1199117
1000	133372	1199019
1001	133504	1198873
1002	133630	1198673
1003	133759	1198504
1004	133893	1198383
1005	134032	1198298
1006	134165	1198165
1007	134309	1198124
1008	134452	1198080
1009	134583	1197923
1010	134723	1197853
1011	134855	1197711
1012	134988	1197574
1013	135122	1197448
1014	135253	1197293
1015	135381	1197116
1016	135517	1197002
1017	135647	1196843
1018	135756	1196491
1019	135889	1196359
1020	136027	1196273
1021	136160	1196132
1022	136289	1195961
1023	136433	1195928
1024	136570	1195828
1025	136705	1195708
1026	136835	1195546
1027	136966	1195394
1028	137102	1195285
1029	137239	1195186
1030	137366	1194993
1031	137501	1194877
1032	137636	1194761
1033	137775	1194673
1034	137909	1194547
1035	138038	1194381
1036	138166	1194201
1037	138296	1194035
1038	138435	1193951
1039	138584	1193956
1040	138719	1193840
1041	138852	1193701
1042	138997	1193669
1043	139124	1193485
1044	139250	1193292
1045	139397	1193273
1046	139527	1193117
1047	139662	1192996
1048	139791	1192822
1049	139924	1192687
1050	140060	1192578
1051	140196	1192466
1052	140325	1192297
1053	140460	1192184
1054	140592	1192038
1055	140734	1191977
1056	140875	1191906
1057	141003	1191734
1058	141138	1191611
1059	141277	1191531
1060	141417	1191455
1061	141553	1191340
1062	141687	1191218
1063	141841	1191256
1064	141976	1191132
1065	142118	1191073
1066	142248	1190917
1067	142382	1190788
1068	142506	1190573
1069	142641	1190455
1070	142773	1190315
1071	142901	1190136
1072	143026	1189932
1073	143164	1189834
1074	143313	1189837
1075	143453	1189758
1076	143584	1189607
1077	143710	1189408
1078	143841	1189259
1079	143972	1189106
1080	144107	1188982
1081	144238	1188834
1082	144380	1188769
1083	144509	1188601
1084	144657	1188587
1085	144787	1188433
1086	144917	1188271
1087	145040	1188052
1088	145171	1187898
1089	145303	1187757
1090	145440	1187655
1091	145566	1187457
1092	145701	1187341
1093	145845	1187292
1094	145969	1187081
1095	146105	1186971
1096	146244	1186884
1097	146392	1186876
1098	146531	1186783
1099	146657	1186596
1100	146792	1186473
1101	146926	1186346
1102	147064	1186246
1103	147190	1186058
1104	147328	1185957
1105	147454	1185768
1106	147585	1185614
1107	147717	1185472
1108	147861	1185426
1109	147990	1185257
1110	148124	1185132
1111	148253	1184958
1112	148379	1184773
1113	148506	1184588
1114	148640	1184456
1115	148780	1184380
1116	148917	1184277
1117	149045	1184096
1118	149174	1183932
1119	149304	1183774
1120	149432	1183598
1121	149576	1183550
1122	149703	1183362
1123	149846	1183311
1124	149973	1183126
1125	150105	1182978
1126	150238	1182844
1127	150369	1182692
1128	150506	1182587
1129	150634	1182413
1130	150768	1182286
1131	150888	1182047
1132	151026	1181952
1133	151152	1181761
1134	151285	1181622
1135	151435	1181623
1136	151564	1181457
1137	151713	1181445
1138	151845	1181302
1139	151977	1181161
1140	152107	1180998
1141	152240	1180862
1142	152370	1180702
1143	152510	1180619
1144	152645	1180502
1145	152785	1180421
1146	152924	1180332
1147	153058	1180207
1148	153195	1180102
1149	153323	1179925
1150	153460	1179819
1151	153599	1179726
1152	153728	1179564
1153	153863	1179443
1154	153994	1179290
1155	154124	1179130
1156	154260	1179019
1157	154400	1178935
1158	154551	1178938
1159	154678	1178756
1160	154815	1178649
1161	154945	1178490
1162	155075	1178332
1163	155214	1178245
1164	155354	1178159
1165	155492	1178059
1166	155629	1177954
1167	155761	1177814
1168	155889	1177638
1169	156021	1177498
1170	156155	1177363
1171	156282	1177184
1172	156407	1176988
1173	156541	1176859
1174	156680	1176773
1175	156819	1176677
1176	156952	1176540
1177	157084	1176399
1178	157213	1176236
1179	157346	1176101
1180	157477	1175949
1181	157617	1175864
1182	157749	1175718
1183	157881	1175579
1184	158014	1175437
1185	158150	1175331
1186	158283	1175192
1187	158414	1175043
1188	158547	1174907
1189	158672	1174706
1190	158800	1174536
1191	158921	1174312
1192	159057	1174198
1193	159190	1174064
1194	159326	1173951
1195	159463	1173842
1196	159591	1173667
1197	159716	1173475
1198	159844	1173306
1199	159976	1173159
1200	160112	1173044
1201	160243	1172894
1202	160377	1172766
1203	160499	1172556
1204	160631	1172412
1205	160769	1172312
1206	160910	1172232
1207	161043	1172101
1208	161181	1172001
1209	161318	1171892
1210	161464	1171850
1211	161598	1171722
1212	161730	1171576
1213	161862	1171436
1214	162003	1171359
1215	162138	1171240
1216	162267	1171075
1217	162415	1171043
1218	162555	1170956
1219	162689	1170833
1220	162824	1170706
1221	162958	1170580
1222	163092	1170451
1223	163214	1170240
1224	163346	1170091
1225	163477	1169942
1226	163623	1169902
1227	163755	1169758
1228	163884	1169596
1229	164020	1169479
1230	164157	1169368
1231	164285	1169203
1232	164414	1169037
1233	164556	1168961
1234	164684	1168793
1235	164819	1168668
1236	164948	1168509
1237	165082	1168376
1238	165217	1168258
1239	165362	1168203
1240	165496	1168077
1241	165630	1167951
1242	165762	1167807
1243	165893	1167656
1244	166027	1167528
1245	166153	1167340
1246	166282	1167175
1247	166417	1167058
1248	166549	1166915
1249	166671	1166697
1250	166808	1166591
1251	166934	1166408
1252	167056	1166194
1253	167183	1166018
1254	167315	1165878
1255	167443	1165708
1256	167575	1165565
1257	167712	1165458
1258	167845	1165318
1259	167976	1165167
1260	168120	1165110
1261	168245	1164921
1262	168380	1164800
1263	168510	1164641
1264	168654	1164586
1265	168782	1164413
1266	168911	1164246
1267	169055	1164192
1268	169187	1164045
1269	169320	1163909
1270	169457	1163802
1271	169592	1163683
1272	169727	1163560
1273	169858	1163413
1274	169995	1163299
1275	170130	1163183
1276	170260	1163024
1277	170395	1162901
1278	170533	1162802
1279	170672	1162708
1280	170813	1162624
1281	170952	1162531
1282	171083	1162379
1283	171217	1162255
1284	171349	1162111
1285	171481	1161964
1286	171618	1161857
1287	171751	1161720
1288	171900	1161697
1289	172032	1161552
1290	172182	1161534
1291	172313	1161379
1292	172446	1161244
1293	172589	1161180
1294	172720	1161027
1295	172843	1160827
1296	172979	1160708
1297	173111	1160566
1298	173249	1160466
1299	173379	1160307
1300	173523	1160243
1301	173662	1160148
1302	173789	1159975
1303	173922	1159837
1304	174057	1159716
1305	174198	1159633
1306	174329	1159487
1307	174469	1159395
1308	174592	1159191
1309	174727	1159072
1310	174853	1158890
1311	174991	1158785
1312	175124	1158652
1313	175259	1158528
